	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
6894	1091	main-captions	images	2014	128	none	none	A couple posing for a picture on a couch.	Young couple sitting on couch.	4.0
11341	5538	main-news	headlines	2015	1475	none	none	Iran's president condemns use of chemical weapons in Syria	Probe alleged use of chemical weapons in Syria	1.6
968								According to Tuesday's report, consumers' assessment of current conditions was less favourable than a month earlier.	Consumers' assessment of current conditions was less favorable than last month.	5.0
4442								Bennett told Newsweek that \"over 10 years, I'd say I've come out pretty close to even.\"	\"Over 10 years, I'd say I've come out pretty close to even,\" he said.	5.0
3064								\"For customers to get the most of the Internet, several factors are crucial,\" Pierre Danon, CEO of BT's retail unit.	\"For customers to get the most out of the internet, several factors are crucial,\" Mr Danon said.	5.0
2071								Media Editor Jon Friedman contributed to this story.	Jon Friedman is media editor for CBS.MarketWatch.com in New York.	0.0
5003								Harry Potter and the Order of the Phoenix, by J.K. Rowling, Scholastic, 870 pages, $29.99.	In ''The Order of the Phoenix,'' Harry is 15, and fully a teenager at last.	0.0
6913	1110	main-captions	images	2014	151	none	none	A motorcycle parked next to a car.	A BMW motorcycle parked between two cars.	3.0
3091								The Neighbours star and singer spent yesterday resting at her family home in Sydney and will have more tests today.	Goodrem spent yesterday resting in her family home in Sydney and will have more tests today to determine her exact treatment.	0.0
5220								Plants still must abide by state and federal air-pollution laws, so there will not be an increase in smog, the administration argues.	Plants still must abide by state and federal air-pollution laws, so there won't necessarily be any increase in pollution, the administration argues.	5.0
1459								The organizers of the University Games, which began Thursday, were hoping North Korea's participation would help boost inter-Korean reconciliation in the leadup to this week's summit.	The organizers of the University Games were hoping North Korea's participation would help boost inter-Korean reconciliation in the leadup to a crucial summit in Beijing this week.	5.0
908								Intel spokesman Dan Francisco said the chip maker is looking into the issue, but declined to elaborate.	Intel spokesman Daniel Francisco said the company \"is looking into the problem\" identified by Nortel, but he declined to provide any details.	5.0
11513	5710	main-news	headlines	2016	1246	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Kranjcar leaves it late to rescue QPR against Moses-inspired Stoke	Harry Kane leaves it late to rescue a point for Tottenham Hotspur	0.0
3975								\"So Sebastian did his best to convincingly confess to a crime that he didn't commit in order to survive,\" she told jurors.	\"Sebastian did his best to confess convincingly to a crime he didn't do in order to survive,\" Ms. Richardson declared.	5.0
2392								Nationwide, severe acute respiratory syndrome has infected more than 5,300 people, about two-thirds of world's total, and killed 343 of them.	Severe acute respiratory syndrome has infected more than 8,300 worldwide and killed at least 790, most of them in Asia.	0.0
10609	4806	main-news	headlines	2014	568	none	none	Two U.S. soldiers killed in \"insider\" attack in Afghanistan	8 soldiers killed in bomb attack in NW Pakistan	0.8
214								Total Information Awareness is now Terrorism Information Awareness.	The new name will be Terrorism Information Awareness.	5.0
533								The broader Standard & Poor's 500 Index .SPX was down 0.04 points, or 0 percent, at 971.52.	Standard & Poor's 500 stock index futures for June were down 2.60 points at 965.70, while Nasdaq futures were down 7.50 points at 1,183.50.	0.0
3995								A second Indonesian, Imam Samudra, the so-called \"field commander\" of the bombings, was sentenced to death last month.	Imam Samudra, leader of the team that carried out the bombing, was sentenced to death last month.	5.0
