,index,genre,filename,year,old_index,source1,source2,sentence1,sentence2,score
14918,,,OnWN,2014,,,,Reduce to small pieces by pounding or grinding.,reduce to small pieces or particles by pounding or abrading.,4.66666666666667
16475,,,belief,2015,,,,"the president's biological father was kenyan, and obama barely knew him.",the justice system is a farce and we all know it.,0.0
3554,,,,,,,,"At the Pentagon, the Department of Defense's Inspector General has separately been asked to investigate how the telecom licences were awarded.",But a source close to the Pentagon said the Defense Department's own inspector-general had been asked to investigate how the licences were awarded.,5.0
1549,,,,,,,,Monday said it has its first customer for its controversial Intellectual Property Compliance License for SCO UNIX Rights.,SCO says it has signed the first enterprise customer to its controversial Intellectual Property Compliance License.,5.0
11363,5560.0,main-news,headlines,2016,70,Europe Media Monitor (http://emm.newsbrief.eu),Europe Media Monitor (http://emm.newsbrief.eu),"Rocks, Tear Gas Fly as Thai Protests Heat Up","Rocks, tear gas fly as Thai protests heat up",5.0
3426,,,,,,,,The worst-affected area was South Kyongsang province where at least 15 people drowned and roads were swept away.,The worst affected area was South Kyeongsang province where at least 15 people drowned and roads were swept away in mud sides.,5.0
7757,1954.0,main-captions,images,2015,1361,none,none,A woman is eating fish at a restaurant.,A woman eating a large fish in a restaurant.,4.6
16420,,,belief,2015,,,,people who are the technicians to maintain the robots.,"rslw: because they are horrible, fascist skin head brutes.",0.0
9059,3256.0,main-news,MSRpar,2012train,472,none,none,"Revenue rose 3.9 percent, to $1.63 billion from $1.57 billion.","The McLean, Virginia-based company said newspaper revenue increased 5 percent to $1.46 billion.",1.2
2300,,,,,,,,"""Canada is a small country, and it needs companies like this, deals like this.""","A passionate nationalist, Mr. D'Alessandro said: ""Canada is a small country, and we need more companies like this.""",1.0
6737,934.0,main-captions,MSRvid,2012train,646,none,none,A man is traveling in a boat.,A woman is cutting up a carrot with a knife.,0.0
8027,2224.0,main-forum,deft-forum,2014,224,none,none,What are they trying to hide?,I then asked: What are they trying to hide?,3.6
729,,,,,,,,Other countries and private creditors are owed at least $80 billion in addition.,Other countries are owed at least $US80 billion ($108.52 billion).,1.0
9714,3911.0,main-news,headlines,2013,199,none,none,US stocks fall as Greek talks lumber; Apple falls,US stocks slip on Wall Street as Greek talks drag on,3.2
1923,,,,,,,,"Georgia cannot afford to not get funding,"" said Dr. Melinda Rowe, Chatham County's health director.","Georgia cannot afford to not get funding,"" said county health director Dr. Melinda Rowe.",5.0
16341,,,belief,2015,,,,george0b1 nobody on this thread has said a good word about north vietnam.,the conventional view is that the us and ussr fought it out in the body of vietnam.,1.0
4047,,,,,,,,Its legal representatives began meeting with plaintiffs' attorneys last week to discuss a settlement.,Attorneys for both the archdiocese and the plaintiffs began meeting last week to reach the out-of-court settlement.,5.0
15908,,,tweet-news,2014,,,,Google Gains From Creating Apps for the #iPhone #HealthIT #hcsm,Google Gains From Creating Apps for the Opposition,4.0
3146,,,,,,,,"Today, we preserve essential tools to foster voice competition in the local market.","""We preserve essential tools to foster voice competition,"" Copps said.",5.0
2011,,,,,,,,"Revelations of the expenditures shocked some employees at Delta, an airline that is cutting jobs as it struggles with increased security costs and fewer passengers.","Revelations of the expenditures shocked some employees at Delta, an airline that has posted huge losses and cut jobs as it struggles with increased security costs and fewer passengers.",5.0
6202,399.0,main-captions,MSRvid,2012test,603,none,none,A person peels shrimp.,The lady peeled the shrimp.,3.5
4747,,,,,,,,"As Samudra sat down to hear the indictment, he looked over to his nine lawyers and shouted ``God is Great'' three times.","As he sat down to hear the indictment, Samudra looked over to his nine lawyers and shouted ""Takbir!"", or ""Proclaim!"", a religious rallying cry.",5.0
16245,,,belief,2015,,,,good luck social security has nothing to do with marriage.,actually social security does have something to do with marriage in the way it (ss) is administered.,2.0
7370,1567.0,main-captions,images,2015,225,none,none,A deer jumps a fence.,A deer jumping over a fence.,5.0
16052,,,tweet-news,2014,,,,"Aaron Swartz, Internet Activist and a Creator of RSS, Is Dead at 26, Apparently a Suicide.","Aaron Swartz, Internet Activist, Dies at 26",3.4
16395,,,belief,2015,,,,"it's a pretty far-fetched argument, just like those that argue that god or satan made me do it.","it is a pretty sad statement of the times, imo, that things have gotten so bad.",0.67
7022,1219.0,main-captions,images,2014,326,none,none,A group of people having a drink.,A row of locomotives on a siding in a field.,0.0
291,,,,,,,,"The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.",5.0
14359,,,OnWN,2013,,,,make up something fictional or untrue,make up something artificial or untrue.,5.0
12755,,,SMTeuroparl,2012train,,,,"Finally, in a word, the fourth pillar devoted to equal opportunities reinforces the integrated approach to equality through gender mainstreaming and through specific guidelines.","Lastly, in a word, the fourth pillar dedicated to the equal opportunity consolidates the integrated approach of the equality by the gender mainstreaming and specific guiding lines.",4.6
12020,,,surprise.SMTnews,2012test,,,,This tendency extends deeper than headscarves.,This trend goes well beyond simple headscarves.,4.5
11840,,,SMTeuroparl,2012test,,,,"Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.","The users will be the losers, with the employees, and European competitiveness and the growth will regress.",4.75
8929,3126.0,main-news,MSRpar,2012train,264,none,none,They also found shortness was associated with a family history of hearing loss.,Shortness was found twice as often in those with hearing loss.,3.4
3759,,,,,,,,"Buyers can purchase a Windows- and Office-loaded desktop for $298, excluding taxes, the report said.","Buyers can now choose a Windows- and Office-loaded desktop for 12,390 baht (US$298), excluding taxes, the report said.",5.0
9732,3929.0,main-news,headlines,2013,222,none,none,Another rocket hits Eshkol; no injuries,2 rockets hit Eshkol; none injured,3.4
1290,,,,,,,,"Former roommate and teammate Carlton Dotson, 21, was arrested and charged with murder July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him.","Dotson, 21, was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him.",5.0
15403,,,tweet-news,2014,,,,"Cc  "": At least 90 killed in Brazil nightclub fire """,Hundreds killed in Brazil nightclub fire,3.0
11051,5248.0,main-news,headlines,2015,729,none,none,"Business news and markets: as it happened, April 17, 2013","Business news and markets: as it happened, June 20, 2013",2.4
7231,1428.0,main-captions,images,2014,636,none,none,White cat sitting inside of a sink.,Grey and white cat sitting in bathroom sink.,3.4
6461,658.0,main-captions,MSRvid,2012train,241,none,none,A man is dangling a mouse near a snake.,A man is feeding a mice to a snake.,3.2
13985,,,FNWN,2013,,,,"this frame contains words that denote kinship relations. in annotating the directional uses of these words, we use the standard terms from anthropology, ego and alter. matilde is gilberto's cousin once removed",family based on male descent;,0.8
8703,2900.0,main-news,MSRpar,2012test,677,none,none,"As a result, Murphy sought to substitute Strier's sister, Ethel Celnik, as the trustee.","Murphy said Strier's sister, Ethel Celnik, was in the courtroom at the time, but Strier was not.",1.75
3650,,,,,,,,"About two hours later, his body, wrapped in a blanket, was found dumped a few blocks away.","Then his body was dumped a few blocks away, found in a driveway on Argyle Road.",1.0
4847,,,,,,,,"The seven other nations in the initiative are Britain, Germany, Italy, the Netherlands, Poland, Portugal and Spain.","Other nations involved in the PSI include Germany, Italy, the Netherlands, Poland, Portugal, Spain and Britain.",5.0
13015,,,SMTeuroparl,2012train,,,,That is a shameful state of affairs when we consider that the EU itself is a champion of modernised business practice.,It is a shame when it is thought that the European Union is posed as a champion modernization of the economic life!,4.6
14620,,,OnWN,2013,,,,The state of being absent.,the state of being excommunicated.,0.4
2940,,,,,,,,They are due to appear in the Brisbane Magistrates Court today.,The men will appear in Brisbane Magistrates Court on Monday.,5.0
8981,3178.0,main-news,MSRpar,2012train,352,none,none,The procedure is generally performed in the second or third trimester.,"The technique is used during the second and, occasionally, third trimester of pregnancy.",4.5
13758,,,surprise.OnWN,2012test,,,,Value measured by what must be given or done to obtain something.,value measured by what must be given or done or undergone to obtain something.,4.75
7615,1812.0,main-captions,images,2015,952,none,none,A boy doing a back flip into a swimming pool.,A boy wearing red and blue swim trunks jumping head first into a swimming pool.,2.4
3580,,,,,,,,"And it's going to be a wild ride,"" said Allan Hoffenblum, a Republican consultant.","Now the rest is just mechanical,"" said Allan Hoffenblum, a Republican consultant.",1.0
11466,5663.0,main-news,headlines,2016,903,Europe Media Monitor (http://emm.newsbrief.eu),Europe Media Monitor (http://emm.newsbrief.eu),Headlines in major Iranian newspapers on Sept 27,Headlines in several Iranian newspapers on Oct 19,3.0
4017,,,,,,,,The American Film Institute recently named her the top female screen legend.,In 1999 the American Film Institute named Hepburn as the 20th century's greatest screen actress.,5.0
11223,5420.0,main-news,headlines,2015,1166,none,none,California governor declares drought emergency,California governor declares drought emergency as wildfires continue to burn,3.6
47,,,,,,,,"Thursday afternoon, the Standard & Poor's 500-stock index was trading up just 1.48 points, or 0.1 percent, to 1,049.59.","Stocks closed largely unchanged, with the Standard & Poor's 500-stock index dipping 1.17 points, to 1,046.94.",1.0
16183,,,belief,2015,,,,so now it is a fight for freedom of choice.,the gop is fighting for freedom of religion.,1.6
7019,1216.0,main-captions,images,2014,323,none,none,A man on a mountain bike going down an incline.,This is a man riding a mountain bike over rocks on a clear day.,3.2
3757,,,,,,,,"U.S. corporate bond yield spreads opened tighter overall on Tuesday, but tobacco company bonds widened significantly after an adverse legal ruling on Philip Morris USA.","U.S. corporate bond yield spreads ended mostly tighter amid slumping Treasuries on Tuesday, while bonds of tobacco firms widened significantly after an adverse legal ruling on Philip Morris USA.",5.0
8450,2647.0,main-news,MSRpar,2012test,314,none,none,"Founded in 1996, the LendingTree exchange consists of more than 200 banks, lenders, and brokers.","LendingTree matches borrowers via the Internet with more than 200 mortgage brokers, banks and other lenders.",3.5
6667,864.0,main-captions,MSRvid,2012train,543,none,none,A man is playing guitar.,Smeone is laying down.,0.0
11852,,,SMTeuroparl,2012test,,,,It is our job to continue to support Latvia with the integration of the Russian population.,It is our duty to continue to support Latvia on the issue of the integration of the Russian population.,5.0
7296,1493.0,main-captions,images,2014,741,none,none,A dark brown horse standing in a field.,Horse standing in a field.,3.6
