	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
0								PCCW's chief operating officer, Mike Butcher, and Alex Arena, the chief financial officer, will report directly to Mr So.	Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will report to So.	5.0
1								The world's two largest automakers said their U.S. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected.	Domestic sales at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash.	5.0
2								According to the federal Centers for Disease Control and Prevention (news - web sites), there were 19 reported cases of measles in the United States in 2002.	The Centers for Disease Control and Prevention said there were 19 reported cases of measles in the United States in 2002.	5.0
3								A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night.	A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night.	0.0
4								The company didn't detail the costs of the replacement and repairs.	But company officials expect the costs of the replacement work to run into the millions of dollars.	0.0
5								The settling companies would also assign their possible claims against the underwriters to the investor plaintiffs, he added.	Under the agreement, the settling companies will also assign their potential claims against the underwriters to the investors, he added.	5.0
6								Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation.	Air Commodore John Quaife said the security operation was unprecedented.	0.0
7								A Washington County man may have the countys first human case of West Nile virus, the health department said Friday.	The countys first and only human case of West Nile this year was confirmed by health officials on Sept. 8.	5.0
8								Moseley and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday.	General Moseley and a senior aide presented their assessments at an internal briefing for American and allied military officers at Nellis Air Force Base in Nevada on Thursday.	5.0
9								The broader Standard & Poor's 500 Index <.SPX> was 0.46 points lower, or 0.05 percent, at 997.02.	The technology-laced Nasdaq Composite Index .IXIC was up 7.42 points, or 0.45 percent, at 1,653.44.	0.0
10								Consumers would still have to get a descrambling security card from their cable operator to plug into the set.	To watch pay television, consumers would insert into the set a security card provided by their cable service.	5.0
11								The increase reflects lower credit losses and favorable interest rates.	The gain came as a result of fewer credit losses and lower interest rates.	5.0
12								The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.	The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.	5.0
13								Hong Kong was flat, Australia , Singapore and South Korea lost 0.2-0.4 percent.	Australia was flat, Singapore was down 0.3 percent by midday and South Korea added 0.2 percent.	0.0
14								Evidence suggests two of the victims were taken by surprise, while the other two might have tried to flee or to defend themselves or the others, police said.	Evidence suggests two victims were taken by surprise, while the others may have tried to flee or perhaps defend themselves or their friends, police said.	5.0
15								Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.	In the memo, Ballmer reiterated the open-source threat to Microsoft.	0.0
16								A charter plane crashed in Turkey on Monday, killing all 75 people aboard, including 62 Spanish peacekeepers returning from Afghanistan, officials said.	A plane carrying 75 people, including 62 Spanish peacekeepers returning from Afghanistan, crashed in thick fog in Turkey early on Monday, killing all aboard, officials said.	5.0
17								"Moroccan Interior Minister Al Mustapha Sahel said the investigation ""points to a group that has been arrested recently"", an apparent reference to Djihad Salafist."	"Moroccan Interior Minister Al Mustapha Sahel told state-run 2M television late Saturday the investigation ""points to a group that has been arrested recently"" an apparent reference to Salafist Jihad."	5.0
18								I'm delighted that David Chase has decided to give us another chapter in the great 'Sopranos' saga, HBO chairman and chief executive Chris Albrecht said.	I'm delighted that David Chase has decided to give us another chapter in the great Sopranos saga, said HBO Chairman Chris Albrecht in a statement.	5.0
19								The two had argued that only a new board would have had the credibility to restore El Paso to health.	He and Zilkha believed that only a new board would have had the credibility to restore El Paso to health.	5.0
20								There's no reason for you to keep your skills up, the judge told the convicted crack cocaine kingpin.	There's no reason for you to keep your skills up, U.S. District Judge J. Frederick Motz told McGriff after he was sentenced.	5.0
21								"Still, he said, ""I'm absolutely confident we're going to have a bill."""	I'm absolutely confident we're going to have a bill, Frist, R-Tenn., said Thursday.	5.0
22								Senator Clinton should be ashamed of herself for playing politics with the important issue of homeland security funding, he said.	She should be ashamed of herself for playing politics with this important issue, said state budget division spokesman Andrew Rush.	5.0
23								Federal agents said yesterday they are investigating the theft of 1,200 pounds of an explosive chemical from construction companies in Colorado and California in the past week.	Federal investigators are looking for possible connections between the theft of 1,100 pounds of an explosive chemical from construction companies in Colorado and California in the past week.	5.0
24								Last year, Comcast signed 1.5 million new digital cable subscribers.	Comcast has about 21.3 million cable subscribers, many in the largest U.S. cities.	0.0
25								Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.	But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.	5.0
26								The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.	A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.	5.0
27								Moroccan police have arrested 33 suspects, including some linked to the radical Djihad Salafist group, a government official said.	In a series of raids, Moroccan police arrested 33 suspects Saturday, including some linked to the radical Djihad Salafist group, a senior government official said.	5.0
