,index,genre,filename,year,old_index,source1,source2,sentence1,sentence2,score
16245,,,belief,2015,,,,good luck social security has nothing to do with marriage.,actually social security does have something to do with marriage in the way it (ss) is administered.,2.0
6310,507.0,main-captions,MSRvid,2012train,30,none,none,A girl is playing a guitar.,A man is playing a guitar.,2.8
3489,,,,,,,,"Wyles previous feature credits include White Oleander, Enough and Donnie Darko.","Wyle's feature credits also include ""White Oleander,"" ""Enough"" and ""Donnie Darko.""",5.0
16507,,,belief,2015,,,,"why hasn't the us government done that (if the affair is fake, taht is..)",i think it's a real shame on the part of our government for treating them like this.,1.6
10510,4707.0,main-news,headlines,2014,443,none,none,Syria envoy calls for National Unity Government,Syria envoy calls for political change to end conflict,2.2
5039,,,,,,,,"Cintas is battling efforts to unionize 17,000 of its workers and to let unions organize the workers by signing cards, rather than by a lengthy election process.","Cintas is battling efforts to unionize 17,000 of its workers and labor's demands to let its workers organize by signing cards, rather than by a lengthy election process.",5.0
2994,,,,,,,,Democratic Lt. Gov. Cruz Bustamante and Republican state Sen. Tom McClintock are in different political worlds.,"Democratic Lt. Gov. Cruz Bustamante was first choice of 25 percent, followed by state Sen. Tom McClintock with 18 percent.",1.0
1715,,,,,,,,The New York Yankees took third baseman Eric Duncan from Seton Hall Prep in New Jersey with the 27th pick.,"The Yankees selected Eric Duncan, a third baseman from Seton Hall Prep in New Jersey, with the 27th pick.",5.0
2996,,,,,,,,The broad Standard & Poor's 500 index slipped 12.27 points or 1.23 percent to 981.73.,"The S.& P. 500 slipped 12.27 points, or 1.2 percent, to 981.73.",5.0
13259,,,surprise.OnWN,2012test,,,,"Spin, wind, braid, or twist together,    perhaps as when performing lacework.",do lacework.,2.5
2521,,,,,,,,"A council of up to nine Iraqis probably will lead the countrys interim government through the coming months, the U.S. civil administrator said Monday.","A council of up to nine Iraqis will probably lead the country's still unformed interim government through the coming months, the American civil administrator said Monday.",5.0
5615,,,,,,,,"The steel tariffs, which the U.S. president imposed in March 2002, will officially end at midnight, instead of March 2005 as initially planned.","The U.S. steel tariffs, which Bush imposed in March 2002, were to officially end at midnight Thursday (0500 GMT), instead of March 2005 as initially planned.",5.0
2682,,,,,,,,The study was presented yesterday in Chicago at the annual meeting of the Radiological Society of North America.,Both sets of findings were presented Monday at the annual meeting of the Radiological Society of North America in Chicago.,5.0
13187,,,surprise.OnWN,2012test,,,,"any tall, vertical shape",anything that approximates the shape of a column or tower.,3.5
9765,3962.0,main-news,headlines,2013,263,none,none,US astronaut Neil Armstrong dead at 82,US astronaut Neil Armstrong dies,3.6
3271,,,,,,,,"""The longer this series goes, the better chance Dirk has to play.""","""I think the longer the series goes, the more chance Dirk has to play,"" Nelson said.",5.0
3317,,,,,,,,"The singer has been on a ventilator since the crash at his Buckinghamshire estate last night, but his condition was described as “stable” and “comfortable”.","The singer has been on a ventilator since the crash at his Buckinghamshire estate on Monday, with his condition last night described as “stable and comfortable”.",5.0
15050,,,OnWN,2014,,,,"move, transfer or carry something or someone",a means or agency by which something is expressed or communicated.,2.0
13930,,,FNWN,2013,,,,"an entity is considered worthy of mention for their ability or influence among some type of similar entities. the entity need not be well-known or famous, though if it is, it may be stated by its name only. their worth may be restricted to a time or place.",of major significance or importance;,1.6
15449,,,tweet-news,2014,,,,"Wait, bribing kids is bad? #notmomoftheyearafterall",This Life: Modifying a Child?s Behavior Without Resorting to Bribes ? This Life,1.8
9478,3675.0,main-news,deft-news,2014,225,none,none,according to the statement the rs-24 reinforces the military potential of the strategic forces to overcome anti-missile defense systems.,according to the statement the prototype rs-24 rocket is unlike the topol-m in that it is equipped with multiple independently targetable warheads to overwhelm defense systems.,3.2
13103,,,SMTeuroparl,2012train,,,,"I should like to thank the rapporteur of the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, Mr Brok, for his clear, comprehensive report.","I thank the rapporteur of the Committee on Foreign Affairs, Mr Brok, for his clear and comprehensive report.",3.75
4346,,,,,,,,"The Standard Edition is $15,000 per processor or $300 per named user.",The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,1.0
13042,,,SMTeuroparl,2012train,,,,"Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.","Unfortunately the ultimate goal of a European Constitution would be exactly the opposite and, of course, we cannot approve it.",5.0
9665,3862.0,main-news,headlines,2013,141,none,none,Saudi Arabia arrests suspected militants with al-Qaeda links,"Saudi Arabia arrests suspected militants, state media reports",4.0
14088,,,OnWN,2013,,,,a state of being elevated or raised,the event of something being raised upward.,2.6
15974,,,tweet-news,2014,,,,Scarcity and Financial Decision-Making.,"Hanging On: In Debt, and Digging Deeper to Find Relief",2.2
2755,,,,,,,,"Subsequently, some bondholders have filed suit to block the exchange offer.",Bondholders of Mirant Americas Generation subsequently filed suit against Mirant seeking to block the exchange offer.,5.0
3837,,,,,,,,The poll had a margin of error of plus or minus 2 percentage points.,It had a margin of sampling error of plus or minus four percentage points and was conducted Thursday through Saturday.,1.0
357,,,,,,,,"Eight firefighters also suffered minor injuries, including burns, heat exhaustion, bruises and muscle strain, and were treated and released from the hospital, fire officials said.","Eight firefighters also suffered minor injuries, including burns, heat, bruises and muscle strain, fire officials said.",1.0
4401,,,,,,,,"In 1975 he married Marta Casals, the widow of Pablo Casals.","Istomin later married Casals' widow, Marta, after Casals' death in 1973.",1.0
11294,5491.0,main-news,headlines,2015,1361,none,none,Bangladesh Honors Factory Victims,Retailers back Bangladesh factory safety pact,2.8
15918,,,tweet-news,2014,,,,"Mark Sanford, the ex-Governor of South Carolina & ""Hiking the Appalachian Trail"", to Run for Congress","Sanford, Ex-Governor of South Carolina, to Run for Congress",4.0
14592,,,OnWN,2013,,,,the central area of an object,the center of an object.,4.6
3526,,,,,,,,Environmental campaigners are using this weekend’s lunar eclipse to highlight the huge increase in light pollution across the UK.,Environmental campaigners used the eclipse to highlight the surge in light pollution across Britain.,5.0
5754,,,,,,,,But plaque volume increased by 2.7 percent in pravastatin patients.,The volume of plaque in Pravachol patients' arteries rose by 3%.,5.0
10800,4997.0,main-news,headlines,2015,104,none,none,"The Note's Must-Reads for Friday May 24, 2013","The Note's Must-Reads for Tuesday October 29, 2013",2.0
1227,,,,,,,,America has accused Syria of not doing enough to prevent foreign fighters infiltrating through its eastern border into Iraq to attack U.S.-led coalition forces.,"US officials accuse regional states, particularly Syria, of not doing enough to prevent foreign fighters from entering Iraq to attack US-led coalition forces.",5.0
6299,496.0,main-captions,MSRvid,2012train,4,none,none,A woman is slicing an onion.,A woman is cutting an onion.,4.2
4776,,,,,,,,"Delta personnel at Hartsfield-Jackson International Airport were scrambling all day to find alternate flights -- even on other airlines, when necessary -- to move the inconvenienced passengers.",Delta personnel at Atlanta's Hartsfield-Jackson International Airport scrambled all day to find alternate flights -- including seats on other airlines -- to move the inconvenienced passengers.,5.0
9298,3495.0,main-news,deft-news,2014,45,none,none,police stated tsai wen-huang would be extradited to taiwan.,police stated that-- chung has been on the run.,1.8
16418,,,belief,2015,,,,however my cash flow is better with them then without since the rental income more than covers the mortgages on them plus...,and the only reason they are there is because of insane student loan practices that are identical in everyway to the insane mortgage loan practices.,1.2
3549,,,,,,,,Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.,5.0
14707,,,OnWN,2014,,,,"save from an experience, action or harm",save or relieve from an experience or action.,4.0
9393,3590.0,main-news,deft-news,2014,140,none,none,elbaradei stated that this is the last chance to build security in the middle east based on trust and cooperation and not on possession of nuclear weapons.,this is the last chance to build security in the middle east based on trust and cooperation rather than on the possession of nuclear arms.,4.0
3038,,,,,,,,"Before addressing the economy, Bush discussed the terrorist attacks in Saudi Arabia, which killed as many as 29 people, including seven Americans.","The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people, including seven Americans.",5.0
12961,,,SMTeuroparl,2012train,,,,"I find it rather odd that people are already trying to tie the Commission's hands in relation to the proposal for a directive, while at the same calling on it to present a Green Paper on the current situation with regard to optional and supplementary health insurance schemes.",I find it a little strange to want as of now forcing the Commission to a motion for a resolution and to ask him at the same time to draw up a Green Paper on the current state of voluntary insurance and supplementary sickness insurance.,4.4
2520,,,,,,,,The budget fell steadily until dropping as low as $2.93 billion in 1998 and has gradually risen to $3.27 billion for fiscal 2002.,It fell steadily until it dropped as low as $2.93 billion in 1998 and rose gradually to $3.27 billion for fiscal 2002.,5.0
1493,,,,,,,,"Added Mr. Prodi: ""Maybe, but the old age helps us to understand our strengths and our weakness.""","""Maybe, but the old age helps us to understand our strength and our weakness and the reality of the world.",1.0
11412,5609.0,main-news,headlines,2016,466,Europe Media Monitor (http://emm.newsbrief.eu),Europe Media Monitor (http://emm.newsbrief.eu),Oklahoma examines what went wrong in botched execution,Okla. inmate dies of heart attack after botched execution,3.0
4540,,,,,,,,"Analysts have predicted third-quarter earnings of 16 cents a share and revenue of $7.15 billion, on average.","Analysts surveyed by Reuters Research expected earnings of 13 cents a share on revenue of $6.7 billion, on average.",5.0
4110,,,,,,,,Vanderpool said the gunmen were retaliating because the other group had taken the smugglers' human cargo earlier.,"One group had taken the other group's human cargo earlier, he said.",1.0
5044,,,,,,,,"Dr Blix said: ""I don't know exactly how they calculated this figure.","Mr Blix said: ""I don't know exactly how they calculated this figure of 45 minutes in the dossier.",5.0
11099,5296.0,main-news,headlines,2015,851,none,none,Israel approves release of first group of Palestinian prisoners ahead of peace talks,Syrian opposition confirms participation in peace talks,1.0
10639,4836.0,main-news,headlines,2014,606,none,none,China's new PM rejects US hacking claims,China Premier Li rejects 'groundless' US hacking accusations,5.0
6724,921.0,main-captions,MSRvid,2012train,627,none,none,A slow loris bites a persons fingers.,A small animal is chewing on a finger.,2.5
12723,,,SMTeuroparl,2012train,,,,Spain has done a magnificent job in turning round the difficult neighbourly relations which Europe and North Africa and Spain and Morocco have suffered during the course of history.,"Spain has developed a remarkably positive the difficult neighbourhood, which has always existed between Europe and North Africa and between Spain and Morocco.",4.0
13845,,,surprise.OnWN,2012test,,,,put up with something or someone (unpleasant),put up with something or somebody unpleasant.,4.75
13608,,,surprise.OnWN,2012test,,,,The principal activity that one does to earn money.,the principal activity in your life that you do to earn money.,5.0
3251,,,,,,,,"Taher, acting against his attorney's advice, became the fifth member of a group of six Yemeni-Americans to enter a plea agreement with the government in the case.","Taher, acting against his attorney's advice, became the fifth member of the six to enter a plea agreement with the government.",5.0
7345,1542.0,main-captions,images,2015,160,none,none,Two large dogs running in some grass.,Two brindle dogs running in the grass.,4.2
9584,3781.0,main-news,headlines,2013,39,none,none,NATO: 2 International Troops Killed in Afghanistan,Three NATO troops killed in one day in Afghanistan,2.2
2678,,,,,,,,"""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" according to extracts released yesterday.","""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" Mrs Clinton writes.",5.0
12882,,,SMTeuroparl,2012train,,,,"I wonder if the Commissioner has planned any steps in this respect to demonstrate that we really do consider Kostunica to be the only lawfully elected representative of the Serbian people, and the only partner with whom the European Union is involved as from today.",I wonder whether the police chief envisages already stages which will make it possible to show that we regard Kostunica as the legally elected representative of Serbian people and as the partner with whom the European Union will have henceforth to treat.,4.4
